#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CASQ2	PLN	9606.ENSP00000261448	9606.ENSP00000350132	0	0	0	0	0.326	0	0	0.538	0.675
CASQ2	JPH2	9606.ENSP00000261448	9606.ENSP00000362071	0	0	0	0	0.214	0	0.360	0.590	0.776
CASQ2	LDB3	9606.ENSP00000261448	9606.ENSP00000401437	0	0	0	0	0.664	0	0	0.545	0.840
CAV1	CFTR	9606.ENSP00000339191	9606.ENSP00000003084	0	0	0	0	0.062	0.065	0	0.502	0.526
CAV1	CDH17	9606.ENSP00000339191	9606.ENSP00000027335	0	0	0	0	0	0.178	0	0.562	0.625
CAV1	MYOC	9606.ENSP00000339191	9606.ENSP00000037502	0	0	0	0	0.062	0	0	0.426	0.438
CAV1	NGFR	9606.ENSP00000339191	9606.ENSP00000172229	0	0	0	0	0	0.270	0	0.466	0.594
CAV1	MMP2	9606.ENSP00000339191	9606.ENSP00000219070	0	0	0	0	0.230	0	0	0.469	0.573
CAV1	TGFB1	9606.ENSP00000339191	9606.ENSP00000221930	0	0	0	0	0	0	0.900	0.357	0.933
CAV1	SERPINE1	9606.ENSP00000339191	9606.ENSP00000223095	0	0	0	0	0.312	0	0	0.451	0.606
CAV1	COL1A1	9606.ENSP00000339191	9606.ENSP00000225964	0	0	0	0	0.213	0	0	0.324	0.445
CAV1	TGFB3	9606.ENSP00000339191	9606.ENSP00000238682	0	0	0	0	0.062	0	0.900	0.219	0.920
CAV1	PRRX1	9606.ENSP00000339191	9606.ENSP00000239461	0	0	0	0	0.152	0.059	0	0.339	0.426
CAV1	PTGIS	9606.ENSP00000339191	9606.ENSP00000244043	0	0	0	0	0.062	0.270	0	0.661	0.747
CAV1	VWF	9606.ENSP00000339191	9606.ENSP00000261405	0	0	0	0	0.052	0	0	0.423	0.429
CAV1	PDGFRB	9606.ENSP00000339191	9606.ENSP00000261799	0	0	0	0	0.117	0.341	0	0.298	0.556
CAV1	KCNH2	9606.ENSP00000339191	9606.ENSP00000262186	0	0	0	0	0	0.319	0	0.660	0.758
CAV1	EHD2	9606.ENSP00000339191	9606.ENSP00000263277	0	0	0	0	0.302	0	0	0.528	0.656
CAV1	TIMP3	9606.ENSP00000339191	9606.ENSP00000266085	0	0	0	0	0.215	0	0	0.282	0.412
CAV1	ITGB6	9606.ENSP00000339191	9606.ENSP00000283249	0	0	0	0	0.076	0	0.600	0.177	0.669
CAV1	KCNMA1	9606.ENSP00000339191	9606.ENSP00000286628	0	0	0	0	0.081	0.270	0	0.859	0.897
CAV1	CD109	9606.ENSP00000339191	9606.ENSP00000287097	0	0	0	0	0.143	0	0	0.705	0.737
CAV1	PPARG	9606.ENSP00000339191	9606.ENSP00000287820	0	0	0	0	0.071	0.499	0	0.552	0.774
CAV1	TDGF1	9606.ENSP00000339191	9606.ENSP00000296145	0	0	0	0	0	0	0	0.463	0.464
CAV1	SDPR	9606.ENSP00000339191	9606.ENSP00000305675	0	0	0	0	0.116	0.509	0	0.701	0.859
CAV1	PRKCDBP	9606.ENSP00000339191	9606.ENSP00000307292	0	0	0	0	0.230	0.514	0	0.915	0.965
CAV1	TENC1	9606.ENSP00000339191	9606.ENSP00000319756	0	0	0	0	0	0.270	0	0.871	0.902
CAV1	NR1I2	9606.ENSP00000339191	9606.ENSP00000336528	0	0	0	0	0	0.059	0	0.692	0.698
CAV1	NNMT	9606.ENSP00000339191	9606.ENSP00000441434	0	0	0	0	0.299	0	0	0.186	0.405
CAV1	VIM	9606.ENSP00000339191	9606.ENSP00000446007	0	0	0	0	0.107	0	0	0.363	0.407
CAV1	CXCL12	9606.ENSP00000339191	9606.ENSP00000379140	0	0	0	0	0.096	0	0	0.403	0.437
CAV1	CD24	9606.ENSP00000339191	9606.ENSP00000483985	0	0	0	0	0	0	0	0.447	0.447
CAV1	MYLK	9606.ENSP00000339191	9606.ENSP00000353452	0	0	0	0	0.076	0	0	0.456	0.475
CAV1	PACSIN3	9606.ENSP00000339191	9606.ENSP00000440945	0	0	0	0	0.126	0	0	0.445	0.494
CAV1	JPH2	9606.ENSP00000339191	9606.ENSP00000362071	0	0	0	0	0.143	0	0	0.494	0.548
CAV1	CXCR4	9606.ENSP00000339191	9606.ENSP00000386884	0	0	0	0	0	0.289	0	0.394	0.551
CAV1	CLDN5	9606.ENSP00000339191	9606.ENSP00000385477	0	0	0	0	0.062	0	0	0.544	0.554
CAV1	CTGF	9606.ENSP00000339191	9606.ENSP00000356954	0	0	0	0	0.330	0	0	0.409	0.587
CAV1	FGFR1	9606.ENSP00000339191	9606.ENSP00000393312	0	0	0	0	0.065	0.228	0	0.695	0.761
CAV1	FN1	9606.ENSP00000339191	9606.ENSP00000346839	0	0	0	0	0.286	0	0	0.728	0.797
CAV1	CLDN2	9606.ENSP00000339191	9606.ENSP00000441283	0	0	0	0	0	0	0	0.843	0.843
CAV1	ID1	9606.ENSP00000339191	9606.ENSP00000365280	0	0	0	0	0.139	0.270	0	0.923	0.948
CAV1	FLNA	9606.ENSP00000339191	9606.ENSP00000358866	0	0	0	0	0.088	0.213	0	0.988	0.990
CAV1	PTRF	9606.ENSP00000339191	9606.ENSP00000349541	0	0	0	0	0.367	0.732	0	0.984	0.997
CBX6	PPARG	9606.ENSP00000384490	9606.ENSP00000287820	0	0	0	0	0.062	0	0.650	0	0.657
CBX6	SAMD13	9606.ENSP00000384490	9606.ENSP00000359707	0	0	0	0	0	0	0.540	0	0.540
CBX6	COLEC12	9606.ENSP00000384490	9606.ENSP00000383115	0	0	0	0	0	0	0	0.440	0.440
CCDC69	CRISPLD2	9606.ENSP00000347586	9606.ENSP00000262424	0	0	0	0	0	0	0	0.467	0.467
CCDC69	SYNPO2	9606.ENSP00000347586	9606.ENSP00000306015	0	0	0	0	0	0	0	0.483	0.483
CCDC69	FAM129A	9606.ENSP00000347586	9606.ENSP00000356481	0	0	0	0	0.062	0	0	0.703	0.710
CCDC80	COL6A3	9606.ENSP00000206423	9606.ENSP00000295550	0	0	0	0	0.281	0	0	0.208	0.407
CCDC80	CERCAM	9606.ENSP00000206423	9606.ENSP00000361929	0	0	0	0	0.063	0	0	0.401	0.415
CCDC80	OGN	9606.ENSP00000206423	9606.ENSP00000262551	0	0	0	0	0.166	0	0	0.335	0.422
CCDC80	TGFBR3	9606.ENSP00000206423	9606.ENSP00000212355	0	0	0	0	0.062	0	0	0.410	0.423
CCDC80	FBN1	9606.ENSP00000206423	9606.ENSP00000325527	0	0	0	0	0.284	0	0	0.266	0.452
CCDC80	SRPX	9606.ENSP00000206423	9606.ENSP00000367794	0	0	0	0.574	0.123	0	0	0.909	0.461
CCDC80	COL6A1	9606.ENSP00000206423	9606.ENSP00000355180	0	0	0	0	0.233	0	0	0.360	0.489
CCDC80	COL1A1	9606.ENSP00000206423	9606.ENSP00000225964	0	0	0	0	0.335	0	0	0.262	0.489
CCDC80	COL5A1	9606.ENSP00000206423	9606.ENSP00000360882	0	0	0	0	0.242	0	0	0.357	0.492
CCDC80	FN1	9606.ENSP00000206423	9606.ENSP00000346839	0	0	0	0	0.170	0	0	0.450	0.524
CCDC80	MSMB	9606.ENSP00000206423	9606.ENSP00000463092	0	0	0	0	0	0	0	0.530	0.530
CCDC80	SAMD4A	9606.ENSP00000206423	9606.ENSP00000375919	0	0	0	0	0.084	0	0	0.548	0.568
CCDC80	COL3A1	9606.ENSP00000206423	9606.ENSP00000304408	0	0	0	0	0.457	0	0	0.265	0.584
CCDC80	COL1A2	9606.ENSP00000206423	9606.ENSP00000297268	0	0	0	0	0.456	0	0	0.300	0.603
CCL19	CCL21	9606.ENSP00000308815	9606.ENSP00000259607	0	0	0	0.844	0.547	0	0.800	0.915	0.919
CCL19	SELP	9606.ENSP00000308815	9606.ENSP00000263686	0	0	0	0	0.116	0	0	0.414	0.460
CCL19	CSF1R	9606.ENSP00000308815	9606.ENSP00000286301	0	0	0	0	0.265	0	0	0.261	0.433
CCL19	CXCL3	9606.ENSP00000308815	9606.ENSP00000296026	0	0	0	0	0.062	0	0	0.486	0.498
CCL19	PPBP	9606.ENSP00000308815	9606.ENSP00000296028	0	0	0	0	0.062	0	0	0.416	0.428
CCL19	IL33	9606.ENSP00000308815	9606.ENSP00000370842	0	0	0	0	0.099	0	0	0.364	0.402
CCL19	ITGB2	9606.ENSP00000308815	9606.ENSP00000380948	0	0	0	0	0.144	0	0	0.372	0.439
CCL19	ITGAM	9606.ENSP00000308815	9606.ENSP00000441691	0	0	0	0	0.077	0	0	0.517	0.535
CCL19	CXCL14	9606.ENSP00000308815	9606.ENSP00000337065	0	0	0	0	0.153	0	0	0.555	0.607
CCL19	CCL5	9606.ENSP00000308815	9606.ENSP00000474412	0	0	0	0.821	0.120	0	0.600	0.691	0.677
CCL19	CXCL12	9606.ENSP00000308815	9606.ENSP00000379140	0	0	0	0	0.100	0	0	0.783	0.796
CCL19	CXCR4	9606.ENSP00000308815	9606.ENSP00000386884	0	0	0	0	0	0	0.600	0.733	0.888
CCL19	CCL20	9606.ENSP00000308815	9606.ENSP00000351671	0	0	0	0	0.085	0	0.600	0.718	0.888
CCL20	PI3	9606.ENSP00000351671	9606.ENSP00000243924	0	0	0	0	0.140	0	0	0.454	0.510
CCL20	CXCL3	9606.ENSP00000351671	9606.ENSP00000296026	0	0	0	0	0.308	0	0	0.735	0.809
CCL20	PPBP	9606.ENSP00000351671	9606.ENSP00000296028	0	0	0	0	0.072	0	0	0.521	0.537
CCL20	DEFB1	9606.ENSP00000351671	9606.ENSP00000297439	0	0	0	0	0.076	0	0	0.459	0.478
CCL20	CXCL14	9606.ENSP00000351671	9606.ENSP00000337065	0	0	0	0	0	0	0	0.587	0.587
CCL20	ITGAM	9606.ENSP00000351671	9606.ENSP00000441691	0	0	0	0	0	0	0	0.504	0.504
CCL20	LCN2	9606.ENSP00000351671	9606.ENSP00000362108	0	0	0	0	0.085	0	0	0.500	0.522
CCL20	S100A7	9606.ENSP00000351671	9606.ENSP00000357712	0	0	0	0	0	0	0	0.556	0.556
CCL20	IL33	9606.ENSP00000351671	9606.ENSP00000370842	0	0	0	0	0	0	0	0.564	0.564
CCL20	CXCL12	9606.ENSP00000351671	9606.ENSP00000379140	0	0	0	0	0	0.195	0	0.686	0.737
CCL20	CXCR4	9606.ENSP00000351671	9606.ENSP00000386884	0	0	0	0	0	0	0.600	0.601	0.833
CCL20	CCL5	9606.ENSP00000351671	9606.ENSP00000474412	0	0	0	0	0.133	0.284	0.600	0.770	0.935
CCL21	FN1	9606.ENSP00000259607	9606.ENSP00000346839	0	0	0	0	0	0	0	0.425	0.424
CCL21	IL33	9606.ENSP00000259607	9606.ENSP00000370842	0	0	0	0	0.108	0	0	0.382	0.425
CCL21	CXCL3	9606.ENSP00000259607	9606.ENSP00000296026	0	0	0	0	0.055	0.056	0	0.432	0.449
CCL21	SELP	9606.ENSP00000259607	9606.ENSP00000263686	0	0	0	0	0.126	0	0	0.415	0.467
CCL21	ITGAM	9606.ENSP00000259607	9606.ENSP00000441691	0	0	0	0	0.062	0	0	0.529	0.539
CCL21	PPBP	9606.ENSP00000259607	9606.ENSP00000296028	0	0	0	0	0.055	0.297	0	0.402	0.568
CCL21	CXCL14	9606.ENSP00000259607	9606.ENSP00000337065	0	0	0	0	0.093	0.296	0	0.477	0.637
CCL21	CCL5	9606.ENSP00000259607	9606.ENSP00000474412	0	0	0	0	0.062	0.237	0	0.681	0.751
CCL21	CXCL12	9606.ENSP00000259607	9606.ENSP00000379140	0	0	0	0	0.098	0.237	0	0.835	0.876
CCL21	CXCR4	9606.ENSP00000259607	9606.ENSP00000386884	0	0	0	0	0.062	0.056	0.600	0.812	0.925
CCL28	CXCL12	9606.ENSP00000354416	9606.ENSP00000379140	0	0	0	0	0	0.237	0	0.267	0.416
CCL28	CXCR4	9606.ENSP00000354416	9606.ENSP00000386884	0	0	0	0	0	0	0.600	0.168	0.653
CCL5	MMP2	9606.ENSP00000474412	9606.ENSP00000219070	0	0	0	0	0	0	0	0.506	0.506
CCL5	TGFB1	9606.ENSP00000474412	9606.ENSP00000221930	0	0	0	0	0.062	0.059	0	0.550	0.568
CCL5	SERPINE1	9606.ENSP00000474412	9606.ENSP00000223095	0	0	0	0	0	0	0	0.604	0.604
CCL5	CLEC11A	9606.ENSP00000474412	9606.ENSP00000250340	0	0	0	0	0	0	0	0.456	0.456
CCL5	VWF	9606.ENSP00000474412	9606.ENSP00000261405	0	0	0	0	0	0	0	0.434	0.434
CCL5	TIMP2	9606.ENSP00000474412	9606.ENSP00000262768	0	0	0	0	0	0	0	0.451	0.451
CCL5	SELP	9606.ENSP00000474412	9606.ENSP00000263686	0	0	0	0	0.096	0	0	0.687	0.705
CCL5	CSF1R	9606.ENSP00000474412	9606.ENSP00000286301	0	0	0	0	0.110	0	0	0.471	0.509
CCL5	PPARG	9606.ENSP00000474412	9606.ENSP00000287820	0	0	0	0	0.062	0	0	0.471	0.482
CCL5	CXCL3	9606.ENSP00000474412	9606.ENSP00000296026	0	0	0	0	0.063	0.056	0	0.693	0.705
CCL5	PPBP	9606.ENSP00000474412	9606.ENSP00000296028	0	0	0	0	0.119	0.248	0	0.672	0.764
CCL5	CXCL14	9606.ENSP00000474412	9606.ENSP00000337065	0	0	0	0	0	0.237	0	0.476	0.583
CCL5	FN1	9606.ENSP00000474412	9606.ENSP00000346839	0	0	0	0	0	0	0	0.567	0.567
CCL5	CD163	9606.ENSP00000474412	9606.ENSP00000352071	0	0	0	0	0.109	0	0	0.523	0.557
CCL5	CTGF	9606.ENSP00000474412	9606.ENSP00000356954	0	0	0	0	0	0	0	0.402	0.402
CCL5	LCN2	9606.ENSP00000474412	9606.ENSP00000362108	0	0	0	0	0.062	0	0	0.423	0.435
CCL5	IL33	9606.ENSP00000474412	9606.ENSP00000370842	0	0	0	0	0	0	0	0.598	0.598
CCL5	SPP1	9606.ENSP00000474412	9606.ENSP00000378517	0	0	0	0	0	0	0	0.505	0.505
CCL5	CXCL12	9606.ENSP00000474412	9606.ENSP00000379140	0	0	0	0	0	0.237	0	0.805	0.844
CCL5	ITGB2	9606.ENSP00000474412	9606.ENSP00000380948	0	0	0	0	0.177	0	0	0.396	0.481
CCL5	SAA1	9606.ENSP00000474412	9606.ENSP00000384906	0	0	0	0	0.062	0	0	0.397	0.411
CCL5	CXCR4	9606.ENSP00000474412	9606.ENSP00000386884	0	0	0	0	0.062	0.056	0.600	0.896	0.958
CCL5	ITGAM	9606.ENSP00000474412	9606.ENSP00000441691	0	0	0	0	0.147	0	0	0.695	0.729
CD109	TGFB1	9606.ENSP00000287097	9606.ENSP00000221930	0	0	0	0	0	0	0	0.453	0.453
CD163	LYZ	9606.ENSP00000352071	9606.ENSP00000261267	0	0	0	0	0.155	0	0	0.319	0.401
CD163	VWF	9606.ENSP00000352071	9606.ENSP00000261405	0	0	0	0	0.322	0	0	0.401	0.577
CD163	F13A1	9606.ENSP00000352071	9606.ENSP00000264870	0	0	0	0	0.684	0	0	0.341	0.783
CD163	CSF1R	9606.ENSP00000352071	9606.ENSP00000286301	0	0	0	0	0.779	0	0	0.641	0.917
CD163	PPARG	9606.ENSP00000352071	9606.ENSP00000287820	0	0	0	0	0.062	0	0	0.454	0.465
CD163	RETNLB	9606.ENSP00000352071	9606.ENSP00000295755	0	0	0	0	0.062	0	0	0.595	0.603
CD163	FOLR2	9606.ENSP00000352071	9606.ENSP00000298223	0	0	0	0	0.460	0	0	0.506	0.721
CD163	MARCO	9606.ENSP00000352071	9606.ENSP00000318916	0	0	0	0.601	0.521	0	0	0.457	0.603
CD163	FN1	9606.ENSP00000352071	9606.ENSP00000346839	0	0	0	0	0	0	0	0.716	0.716
CD163	CTSE	9606.ENSP00000352071	9606.ENSP00000350911	0	0	0	0	0	0	0	0.556	0.556
CD163	ITGB2	9606.ENSP00000352071	9606.ENSP00000380948	0	0	0	0	0.279	0	0	0.212	0.407
CD163	MAFB	9606.ENSP00000352071	9606.ENSP00000362410	0	0	0	0	0.322	0	0	0.181	0.420
CD163	CXCR4	9606.ENSP00000352071	9606.ENSP00000386884	0	0	0	0	0.062	0	0	0.459	0.470
CD163	CXCL12	9606.ENSP00000352071	9606.ENSP00000379140	0	0	0	0	0.088	0	0	0.464	0.490
CD163	ITGAM	9606.ENSP00000352071	9606.ENSP00000441691	0	0	0	0	0.290	0	0	0.709	0.785
CD163	VSIG4	9606.ENSP00000352071	9606.ENSP00000363869	0	0	0	0	0.824	0	0	0.407	0.891
CD24	SELP	9606.ENSP00000483985	9606.ENSP00000263686	0	0	0	0	0	0.270	0	0.989	0.991
CD24	CSF1R	9606.ENSP00000483985	9606.ENSP00000286301	0	0	0	0	0	0	0	0.403	0.403
CD24	FN1	9606.ENSP00000483985	9606.ENSP00000346839	0	0	0	0	0	0	0	0.936	0.936
CD24	ZEB1	9606.ENSP00000483985	9606.ENSP00000354487	0	0	0	0	0	0	0	0.606	0.606
CD24	L1CAM	9606.ENSP00000483985	9606.ENSP00000359077	0	0	0	0	0	0	0.800	0.455	0.886
CD24	CXCL12	9606.ENSP00000483985	9606.ENSP00000379140	0	0	0	0	0	0	0	0.458	0.457
CD24	CXCR4	9606.ENSP00000483985	9606.ENSP00000386884	0	0	0	0	0.062	0	0	0.615	0.623
CD24	ITGAM	9606.ENSP00000483985	9606.ENSP00000441691	0	0	0	0	0	0	0	0.662	0.662
CD24	VIM	9606.ENSP00000483985	9606.ENSP00000446007	0	0	0	0	0	0	0	0.526	0.526
CD37	FOLR1	9606.ENSP00000325708	9606.ENSP00000377284	0	0	0	0	0	0.058	0	0.460	0.470
CDH17	VIM	9606.ENSP00000027335	9606.ENSP00000446007	0	0	0	0	0	0	0	0.401	0.401
CDH17	VIL1	9606.ENSP00000027335	9606.ENSP00000248444	0	0	0	0	0.153	0	0	0.321	0.401
CDH17	CSPG4	9606.ENSP00000027335	9606.ENSP00000312506	0	0	0	0	0.062	0	0	0.398	0.411
CDH17	PTPRU	9606.ENSP00000027335	9606.ENSP00000334941	0	0	0	0	0	0.108	0	0.392	0.434
CDH17	ITGB2	9606.ENSP00000027335	9606.ENSP00000380948	0	0	0	0	0	0.245	0	0.290	0.441
CDH17	LGALS4	9606.ENSP00000027335	9606.ENSP00000302100	0	0	0	0	0.160	0	0	0.363	0.442
CDH17	VWF	9606.ENSP00000027335	9606.ENSP00000261405	0	0	0	0	0	0	0	0.471	0.471
CDH17	WNT9A	9606.ENSP00000027335	9606.ENSP00000272164	0	0	0	0	0	0.070	0	0.478	0.494
CDH17	CDX2	9606.ENSP00000027335	9606.ENSP00000370408	0	0	0	0	0.098	0	0	0.476	0.507
CDH17	MMP2	9606.ENSP00000027335	9606.ENSP00000219070	0	0	0	0	0	0.058	0	0.505	0.513
CDH17	CLDN5	9606.ENSP00000027335	9606.ENSP00000385477	0	0	0	0	0	0	0	0.526	0.526
CDH17	FLNA	9606.ENSP00000027335	9606.ENSP00000358866	0	0	0	0	0	0.057	0	0.523	0.531
CDH17	CDHR5	9606.ENSP00000027335	9606.ENSP00000351118	0	0	0	0	0.098	0	0	0.521	0.549
CDH17	SLC15A1	9606.ENSP00000027335	9606.ENSP00000365686	0	0	0	0	0.126	0	0	0.541	0.582
CDH17	SLC4A4	9606.ENSP00000027335	9606.ENSP00000393557	0	0	0	0	0	0	0	0.587	0.587
CDH17	LTBP3	9606.ENSP00000027335	9606.ENSP00000301873	0	0	0	0	0	0.073	0	0.615	0.627
CDH17	ZEB1	9606.ENSP00000027335	9606.ENSP00000354487	0	0	0	0	0.049	0	0	0.636	0.639
CDH17	FN1	9606.ENSP00000027335	9606.ENSP00000346839	0	0	0	0	0	0	0	0.709	0.709
CDH17	PTPRS	9606.ENSP00000027335	9606.ENSP00000349932	0	0	0	0	0	0.108	0	0.812	0.825
CDH17	OLFM4	9606.ENSP00000027335	9606.ENSP00000219022	0	0	0	0	0.077	0	0	0.955	0.956
CDHR1	GPR115	9606.ENSP00000485478	9606.ENSP00000283303	0	0	0	0	0	0	0	0.504	0.504
CDHR1	TSPAN1	9606.ENSP00000485478	9606.ENSP00000361072	0	0	0	0	0	0.056	0	0.564	0.570
CDHR2	CLCA1	9606.ENSP00000424565	9606.ENSP00000234701	0	0	0	0	0.170	0	0	0.431	0.508
CDHR2	MLPH	9606.ENSP00000424565	9606.ENSP00000264605	0	0	0	0	0	0	0	0.645	0.645
CDHR2	CDHR5	9606.ENSP00000424565	9606.ENSP00000351118	0	0	0	0	0.285	0.747	0	0.924	0.985
CDHR2	DPEP1	9606.ENSP00000424565	9606.ENSP00000376807	0	0	0	0	0.092	0	0	0.496	0.523
CDHR2	MYO1A	9606.ENSP00000424565	9606.ENSP00000393392	0	0	0	0	0.184	0.081	0	0.328	0.452
CDHR2	VSIG1	9606.ENSP00000424565	9606.ENSP00000402219	0	0	0	0	0	0	0	0.421	0.421
CDHR5	CLCA1	9606.ENSP00000351118	9606.ENSP00000234701	0	0	0	0	0.243	0	0	0.351	0.488
CDHR5	CDX2	9606.ENSP00000351118	9606.ENSP00000370408	0	0	0	0	0.139	0	0	0.419	0.478
CDHR5	CLRN3	9606.ENSP00000351118	9606.ENSP00000357660	0	0	0	0	0.357	0	0	0.270	0.511
CDHR5	DPEP1	9606.ENSP00000351118	9606.ENSP00000376807	0	0	0	0	0.108	0	0	0.488	0.523
CDHR5	MYO1A	9606.ENSP00000351118	9606.ENSP00000393392	0	0	0	0	0.299	0.081	0	0.321	0.524
CDHR5	FCGBP	9606.ENSP00000351118	9606.ENSP00000481056	0	0	0	0	0.116	0	0	0.709	0.731
CDS1	MOGAT2	9606.ENSP00000295887	9606.ENSP00000198801	0	0	0	0	0	0	0	0.417	0.417
CDS1	MOGAT3	9606.ENSP00000295887	9606.ENSP00000223114	0	0	0	0	0	0	0	0.475	0.475
CDX1	KRT20	9606.ENSP00000231656	9606.ENSP00000167588	0	0	0	0	0.331	0	0	0.353	0.549
CDX1	OLFM4	9606.ENSP00000231656	9606.ENSP00000219022	0	0	0	0	0.139	0	0	0.373	0.437
CDX1	TFF2	9606.ENSP00000231656	9606.ENSP00000291526	0	0	0	0	0	0	0	0.406	0.406
CDX1	DEFA5	9606.ENSP00000231656	9606.ENSP00000329890	0	0	0	0	0.335	0	0	0.163	0.419
CDX1	REG4	9606.ENSP00000231656	9606.ENSP00000346158	0	0	0	0	0.182	0.058	0	0.337	0.445
CDX1	TFF3	9606.ENSP00000231656	9606.ENSP00000430690	0	0	0	0	0.111	0	0	0.408	0.451
CDX1	PDGFRB	9606.ENSP00000231656	9606.ENSP00000261799	0	0	0	0	0.065	0.057	0	0.431	0.454
CDX1	CSF1R	9606.ENSP00000231656	9606.ENSP00000286301	0	0	0	0	0	0.057	0	0.489	0.498
CDX1	GPX3	9606.ENSP00000231656	9606.ENSP00000373477	0	0	0	0	0	0.058	0	0.536	0.544
CDX1	CLDN2	9606.ENSP00000231656	9606.ENSP00000441283	0	0	0	0	0.077	0	0	0.540	0.557
CDX2	KRT20	9606.ENSP00000370408	9606.ENSP00000167588	0	0	0	0	0.298	0	0	0.825	0.871
CDX2	CLDN18	9606.ENSP00000370408	9606.ENSP00000183605	0	0	0	0	0	0	0	0.455	0.455
CDX2	CHGA	9606.ENSP00000370408	9606.ENSP00000216492	0	0	0	0	0	0	0	0.610	0.610
CDX2	OLFM4	9606.ENSP00000370408	9606.ENSP00000219022	0	0	0	0	0.088	0	0	0.393	0.423
CDX2	CEACAM5	9606.ENSP00000370408	9606.ENSP00000221992	0	0	0	0	0.083	0	0	0.654	0.669
CDX2	MEP1A	9606.ENSP00000370408	9606.ENSP00000230588	0	0	0	0	0.230	0.270	0	0.150	0.480
CDX2	VIL1	9606.ENSP00000370408	9606.ENSP00000248444	0	0	0	0	0.070	0	0	0.508	0.522
CDX2	GUCY2C	9606.ENSP00000370408	9606.ENSP00000261170	0	0	0	0	0.084	0	0	0.391	0.418
CDX2	LEFTY1	9606.ENSP00000370408	9606.ENSP00000272134	0	0	0	0	0.063	0	0	0.481	0.493
CDX2	TFF2	9606.ENSP00000370408	9606.ENSP00000291526	0	0	0	0	0	0	0	0.481	0.481
CDX2	RETNLB	9606.ENSP00000370408	9606.ENSP00000295755	0	0	0	0	0.152	0	0	0.444	0.508
CDX2	TDGF1	9606.ENSP00000370408	9606.ENSP00000296145	0	0	0	0	0.062	0	0	0.418	0.431
CDX2	UGT2B7	9606.ENSP00000370408	9606.ENSP00000304811	0	0	0	0	0	0.061	0	0.506	0.516
CDX2	REG4	9606.ENSP00000370408	9606.ENSP00000346158	0	0	0	0	0.140	0.058	0	0.423	0.491
CDX2	GUCA2A	9606.ENSP00000370408	9606.ENSP00000349493	0	0	0	0	0.298	0	0	0.193	0.409
CDX2	GKN1	9606.ENSP00000370408	9606.ENSP00000367172	0	0	0	0	0	0	0	0.438	0.438
CDX2	ENO2	9606.ENSP00000370408	9606.ENSP00000437402	0	0	0	0	0	0	0	0.404	0.404
CDX2	CLDN2	9606.ENSP00000370408	9606.ENSP00000441283	0	0	0	0	0.088	0	0	0.431	0.459
CDX2	DHRS9	9606.ENSP00000370408	9606.ENSP00000389241	0	0	0	0	0	0	0	0.505	0.505
CDX2	TFF3	9606.ENSP00000370408	9606.ENSP00000430690	0	0	0	0	0.076	0	0	0.496	0.514
CDX2	SATB2	9606.ENSP00000370408	9606.ENSP00000401112	0	0	0	0	0	0	0	0.567	0.567
CDX2	POU5F1B	9606.ENSP00000370408	9606.ENSP00000419298	0	0	0	0	0.062	0.345	0	0.398	0.598
CDX2	MUC5AC	9606.ENSP00000370408	9606.ENSP00000485659	0	0	0	0	0.052	0.066	0	0.756	0.765
CEACAM5	OTC	9606.ENSP00000221992	9606.ENSP00000039007	0	0	0	0	0.062	0	0	0.413	0.425
CEACAM5	KRT20	9606.ENSP00000221992	9606.ENSP00000167588	0	0	0	0	0.213	0	0	0.802	0.837
CEACAM5	CEACAM6	9606.ENSP00000221992	9606.ENSP00000199764	0	0	0	0.979	0.404	0.128	0	0.863	0.467
CEACAM5	CHGA	9606.ENSP00000221992	9606.ENSP00000216492	0	0	0	0	0	0	0	0.719	0.719
CEACAM5	GUCY2C	9606.ENSP00000221992	9606.ENSP00000261170	0	0	0	0	0.069	0	0	0.413	0.430
CEACAM5	FLNA	9606.ENSP00000221992	9606.ENSP00000358866	0	0	0	0	0	0	0	0.445	0.445
CEACAM5	MAGEA3	9606.ENSP00000221992	9606.ENSP00000473093	0	0	0	0	0	0	0	0.460	0.459
CEACAM5	FN1	9606.ENSP00000221992	9606.ENSP00000346839	0	0	0	0	0	0	0	0.565	0.565
CEACAM5	MUC5AC	9606.ENSP00000221992	9606.ENSP00000485659	0	0	0	0	0.093	0	0	0.565	0.588
CEACAM5	GPT	9606.ENSP00000221992	9606.ENSP00000378408	0	0	0	0	0	0	0	0.687	0.687
CEACAM5	ENO2	9606.ENSP00000221992	9606.ENSP00000437402	0	0	0	0	0	0	0	0.858	0.858
CEACAM6	OLFM4	9606.ENSP00000199764	9606.ENSP00000219022	0	0	0	0	0.160	0	0	0.315	0.400
CEACAM6	TFF3	9606.ENSP00000199764	9606.ENSP00000430690	0	0	0	0	0.207	0	0	0.282	0.406
CEACAM6	MUC17	9606.ENSP00000199764	9606.ENSP00000302716	0	0	0	0	0.076	0	0	0.387	0.409
CEACAM6	LCN2	9606.ENSP00000199764	9606.ENSP00000362108	0	0	0	0	0.525	0	0	0.294	0.650
CEACAM6	ITGA5	9606.ENSP00000199764	9606.ENSP00000293379	0	0	0	0	0	0	0.900	0.113	0.907
CEACAM6	FN1	9606.ENSP00000199764	9606.ENSP00000346839	0	0	0	0	0	0	0.900	0.435	0.941
